,target
2998,1
2999,0
3000,0
3001,0
3002,1
3003,1
3004,1
3005,0
3006,0
3007,0
3008,0
3009,0
3010,1
3011,0
3012,1
3013,0
3014,1
3015,1
3016,1
3017,1
3018,1
3019,0
3020,0
3021,1
3022,1
3023,0
3024,1
3025,1
3026,1
3027,0
3028,1
3029,0
3030,1
3031,0
3032,1
3033,0
3034,0
3035,0
3036,0
3037,0
3038,0
3039,0
3040,1
3041,0
3042,1
3043,1
3044,1
3045,1
3046,1
3047,0
3048,0
3049,0
3050,0
3051,1
3052,1
3053,0
3054,1
3055,0
3056,0
3057,1
3058,0
3059,0
3060,1
3061,0
3062,1
3063,0
3064,0
3065,1
3066,1
3067,0
3068,1
3069,1
3070,1
3071,0
3072,0
3073,1
3074,0
3075,0
3076,1
3077,1
3078,1
3079,1
3080,1
3081,1
3082,0
3083,1
3084,1
3085,1
3086,1
3087,0
3088,1
3089,1
3090,1
3091,1
3092,1
3093,0
3094,1
3095,0
3096,1
3097,0
3098,1
3099,1
3100,0
3101,0
3102,0
3103,0
3104,0
3105,0
3106,1
3107,0
3108,0
3109,1
3110,0
3111,1
3112,1
3113,0
3114,1
3115,1
3116,0
3117,0
3118,1
3119,1
3120,0
3121,0
3122,1
3123,1
3124,1
3125,0
3126,1
3127,0
3128,0
3129,1
3130,0
3131,0
3132,0
3133,1
3134,1
3135,0
3136,1
3137,1
3138,0
3139,1
3140,1
3141,0
3142,1
3143,1
3144,0
3145,0
3146,1
3147,0
3148,1
3149,1
3150,1
3151,1
3152,1
3153,0
3154,1
3155,0
3156,0
3157,0
3158,1
3159,1
3160,1
3161,0
3162,0
3163,0
3164,0
3165,1
3166,0
3167,0
3168,1
3169,0
3170,1
3171,1
3172,0
3173,0
3174,1
3175,0
3176,1
3177,0
3178,0
3179,0
3180,1
3181,0
3182,1
3183,0
3184,1
3185,0
3186,1
3187,1
3188,0
3189,1
3190,1
3191,1
3192,0
3193,1
3194,1
3195,1
3196,1
3197,1
3198,0
3199,1
3200,0
3201,0
3202,0
3203,0
3204,0
3205,0
3206,0
3207,1
3208,1
3209,1
3210,1
3211,1
3212,1
3213,1
3214,0
3215,0
3216,0
3217,1
3218,0
3219,1
3220,1
3221,0
3222,1
3223,1
3224,0
3225,1
3226,0
3227,0
3228,1
3229,1
3230,1
3231,1
3232,0
3233,0
